Santander 
                   Maio       Junho     Julho     Agosto
Saldo Anterior...: 790,53     705,78    706,87    192,14
Mastercard.......: 463,73     540,48    1429,31   348,04
Debitos..........: 1992,97    1637,01   1609,76   1624,82
Despesas.........: 2440,90    2188,69   3184,29   1972,86
Depositos........: 2356,15    2189,78   2669,56   0
Saldo Previsto...: 705,78     706,87    192,14    -1780,72
Saldo Real.......: 705,78     706,87    1621,45   192,14



Deutsche Bank
                   Maio       Junho     Julho     Agosto
Saldo Anterior...: 5944,75    4087,52   5500,70   5023,75
Visa.............: 130,81     197,33    787,78    18,54
Visa Electron....: 1223,59    1485,19   799,99    14,89
Mastercard.......: 0          0         0         0
Saques...........: 100        240,00    30,00     0
Debitos..........: 2195,06    1545,07   2113,03   2173,44
Despesas.........: 3649,46    3467,59   3730,80   2206,87 
Depositos........: 383,97     227,55    1097,38   787,78
Estipendios......: 1408,26    4653,22   2156,47   0
Saldo Previsto...: 3426,61    4844,99   5023,75   3604,66
Saldo Real.......: 4087,52    5500,70   5023,75   3737,24
